image,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text_2.started,button_2.started,button_2.numClicks,button_2.timesOn,button_2.timesOff,image_2.started,text_4.started,button.started,button.numClicks,button.timesOn,button.timesOff,text_3.started,participant,session,date,expName,psychopyVersion,frameRate,
PointingImages/Landmark12_statue.jpeg,0,0,0,0,11.78259880002588,13.80587109993212,13.80587109993212,1,[1.9393858001567423],[1.939394700108096],16.337491000071168,16.337491000071168,16.337491000071168,1,[1.355574799934402],[1.3555806998629123],,890140,001,2023-03-09_15h08.23.350,SEAL_LandmarkPoint,2022.2.5,60.28523360672214,
PointingImages/Landmark11_painting.jpeg,0,1,1,1,,,,,,,17.966605300083756,17.966605300083756,17.966605300083756,2,"[1.355574799934402, 0.6032937001436949]","[1.3555806998629123, 0.6033048999961466]",,890140,001,2023-03-09_15h08.23.350,SEAL_LandmarkPoint,2022.2.5,60.28523360672214,
PointingImages/Landmark7_painting.jpeg,0,2,2,2,,,,,,,18.872878399910405,18.872878399910405,18.872878399910405,3,"[1.355574799934402, 0.6032937001436949, 1.6156448000110686]","[1.3555806998629123, 0.6033048999961466, 1.6156574001070112]",,890140,001,2023-03-09_15h08.23.350,SEAL_LandmarkPoint,2022.2.5,60.28523360672214,
PointingImages/Landmark8_painting.jpeg,0,3,3,3,,,,,,,20.783404200104997,20.783404200104997,20.783404200104997,4,"[1.355574799934402, 0.6032937001436949, 1.6156448000110686, 0.9901457999367267]","[1.3555806998629123, 0.6033048999961466, 1.6156574001070112, 0.990150999976322]",,890140,001,2023-03-09_15h08.23.350,SEAL_LandmarkPoint,2022.2.5,60.28523360672214,
PointingImages/Landmark9_painting.jpeg,0,4,4,4,,,,,,,22.104255399899557,22.104255399899557,22.104255399899557,5,"[1.355574799934402, 0.6032937001436949, 1.6156448000110686, 0.9901457999367267, 0.6360472999513149]","[1.3555806998629123, 0.6033048999961466, 1.6156574001070112, 0.990150999976322, 0.6360561000183225]",,890140,001,2023-03-09_15h08.23.350,SEAL_LandmarkPoint,2022.2.5,60.28523360672214,
PointingImages/Landmark10_statue.jpeg,0,5,5,5,,,,,,,23.051210399949923,23.051210399949923,23.051210399949923,6,"[1.355574799934402, 0.6032937001436949, 1.6156448000110686, 0.9901457999367267, 0.6360472999513149, 0.7773736999370158]","[1.3555806998629123, 0.6033048999961466, 1.6156574001070112, 0.990150999976322, 0.6360561000183225, 0.7773866001516581]",,890140,001,2023-03-09_15h08.23.350,SEAL_LandmarkPoint,2022.2.5,60.28523360672214,
PointingImages/Landmark3_waterfountain.jpeg,0,6,6,6,,,,,,,24.101824699901044,24.101824699901044,24.101824699901044,7,"[1.355574799934402, 0.6032937001436949, 1.6156448000110686, 0.9901457999367267, 0.6360472999513149, 0.7773736999370158, 0.7948433000128716]","[1.3555806998629123, 0.6033048999961466, 1.6156574001070112, 0.990150999976322, 0.6360561000183225, 0.7773866001516581, 0.7948569001164287]",,890140,001,2023-03-09_15h08.23.350,SEAL_LandmarkPoint,2022.2.5,60.28523360672214,
PointingImages/Landmark6_map.jpeg,0,7,7,7,,,,,,,25.319274599896744,25.319274599896744,25.319274599896744,8,"[1.355574799934402, 0.6032937001436949, 1.6156448000110686, 0.9901457999367267, 0.6360472999513149, 0.7773736999370158, 0.7948433000128716, 0.5824164999648929]","[1.3555806998629123, 0.6033048999961466, 1.6156574001070112, 0.990150999976322, 0.6360561000183225, 0.7773866001516581, 0.7948569001164287, 0.5824281999375671]",,890140,001,2023-03-09_15h08.23.350,SEAL_LandmarkPoint,2022.2.5,60.28523360672214,
PointingImages/Landmark1_book.jpeg,0,8,8,8,,,,,,,26.178991300053895,26.178991300053895,26.178991300053895,9,"[1.355574799934402, 0.6032937001436949, 1.6156448000110686, 0.9901457999367267, 0.6360472999513149, 0.7773736999370158, 0.7948433000128716, 0.5824164999648929, 0.6168692999053746]","[1.3555806998629123, 0.6033048999961466, 1.6156574001070112, 0.990150999976322, 0.6360561000183225, 0.7773866001516581, 0.7948569001164287, 0.5824281999375671, 0.6168809998780489]",,890140,001,2023-03-09_15h08.23.350,SEAL_LandmarkPoint,2022.2.5,60.28523360672214,
PointingImages/Landmark4_vase.jpeg,0,9,9,9,,,,,,,27.359828799962997,27.359828799962997,27.359828799962997,10,"[1.355574799934402, 0.6032937001436949, 1.6156448000110686, 0.9901457999367267, 0.6360472999513149, 0.7773736999370158, 0.7948433000128716, 0.5824164999648929, 0.6168692999053746, 0.5436155998613685]","[1.3555806998629123, 0.6033048999961466, 1.6156574001070112, 0.990150999976322, 0.6360561000183225, 0.7773866001516581, 0.7948569001164287, 0.5824281999375671, 0.6168809998780489, 0.543630899861455]",,890140,001,2023-03-09_15h08.23.350,SEAL_LandmarkPoint,2022.2.5,60.28523360672214,
PointingImages/Landmark2_painting.jpeg,0,10,10,10,,,,,,,28.211706100031734,28.211706100031734,28.211706100031734,11,"[1.355574799934402, 0.6032937001436949, 1.6156448000110686, 0.9901457999367267, 0.6360472999513149, 0.7773736999370158, 0.7948433000128716, 0.5824164999648929, 0.6168692999053746, 0.5436155998613685, 0.785082699963823]","[1.3555806998629123, 0.6033048999961466, 1.6156574001070112, 0.990150999976322, 0.6360561000183225, 0.7773866001516581, 0.7948569001164287, 0.5824281999375671, 0.6168809998780489, 0.543630899861455, 0.78510079998523]",,890140,001,2023-03-09_15h08.23.350,SEAL_LandmarkPoint,2022.2.5,60.28523360672214,
PointingImages/Landmark5_painting.jpeg,0,11,11,11,,,,,,,29.289730899967253,29.289730899967253,29.289730899967253,12,"[1.355574799934402, 0.6032937001436949, 1.6156448000110686, 0.9901457999367267, 0.6360472999513149, 0.7773736999370158, 0.7948433000128716, 0.5824164999648929, 0.6168692999053746, 0.5436155998613685, 0.785082699963823, 0.6720668999478221]","[1.3555806998629123, 0.6033048999961466, 1.6156574001070112, 0.990150999976322, 0.6360561000183225, 0.7773866001516581, 0.7948569001164287, 0.5824281999375671, 0.6168809998780489, 0.543630899861455, 0.78510079998523, 0.6720774997957051]",,890140,001,2023-03-09_15h08.23.350,SEAL_LandmarkPoint,2022.2.5,60.28523360672214,
,,,,,,,,,,,,,,,,,29.960571100004017,,,,,,,
