image,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,image_2.started,text_4.started,button.started,button.numClicks,button.timesOn,button.timesOff,text_3.started,text_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,8.27027010000893,10.282915300005698,10.282915300005698,space,0.407657100004144,,,,,,,,,753235,001,2023-02-21_11h09.31.636,SEAL_LandmarkPoint,2022.2.5,60.027180311554915,
PointingImages/Landmark12_statue.jpeg,0,0,0,0,,,,,,11.156699500003015,11.156699500003015,11.156699500003015,1,[1.8457502999954158],[1.8457592000049772],,,753235,001,2023-02-21_11h09.31.636,SEAL_LandmarkPoint,2022.2.5,60.027180311554915,
PointingImages/Landmark11_painting.jpeg,0,1,1,1,,,,,,13.592195300007006,13.592195300007006,13.592195300007006,2,"[1.8457502999954158, 0.8349368999915896]","[1.8457592000049772, 0.8349430999951437]",,,753235,001,2023-02-21_11h09.31.636,SEAL_LandmarkPoint,2022.2.5,60.027180311554915,
PointingImages/Landmark7_painting.jpeg,0,2,2,2,,,,,,14.73925880000752,14.73925880000752,14.73925880000752,3,"[1.8457502999954158, 0.8349368999915896, 0.769419200005359]","[1.8457592000049772, 0.8349430999951437, 0.7694291000079829]",,,753235,001,2023-02-21_11h09.31.636,SEAL_LandmarkPoint,2022.2.5,60.027180311554915,
PointingImages/Landmark8_painting.jpeg,0,3,3,3,,,,,,15.941127800004324,15.941127800004324,15.941127800004324,4,"[1.8457502999954158, 0.8349368999915896, 0.769419200005359, 2.025638999999501]","[1.8457592000049772, 0.8349430999951437, 0.7694291000079829, 2.0256495000066934]",,,753235,001,2023-02-21_11h09.31.636,SEAL_LandmarkPoint,2022.2.5,60.027180311554915,
PointingImages/Landmark9_painting.jpeg,0,4,4,4,,,,,,18.357788599998457,18.357788599998457,18.357788599998457,5,"[1.8457502999954158, 0.8349368999915896, 0.769419200005359, 2.025638999999501, 0.8990091000014218]","[1.8457592000049772, 0.8349430999951437, 0.7694291000079829, 2.0256495000066934, 0.8990173999918625]",,,753235,001,2023-02-21_11h09.31.636,SEAL_LandmarkPoint,2022.2.5,60.027180311554915,
PointingImages/Landmark10_statue.jpeg,0,5,5,5,,,,,,19.53040780000447,19.53040780000447,19.53040780000447,6,"[1.8457502999954158, 0.8349368999915896, 0.769419200005359, 2.025638999999501, 0.8990091000014218, 0.6941621000005398]","[1.8457592000049772, 0.8349430999951437, 0.7694291000079829, 2.0256495000066934, 0.8990173999918625, 0.6941699000017252]",,,753235,001,2023-02-21_11h09.31.636,SEAL_LandmarkPoint,2022.2.5,60.027180311554915,
PointingImages/Landmark3_WaterFountain.jpeg,0,6,6,6,,,,,,20.58187100000214,20.58187100000214,20.58187100000214,7,"[1.8457502999954158, 0.8349368999915896, 0.769419200005359, 2.025638999999501, 0.8990091000014218, 0.6941621000005398, 0.7937566000036895]","[1.8457592000049772, 0.8349430999951437, 0.7694291000079829, 2.0256495000066934, 0.8990173999918625, 0.6941699000017252, 0.7937647000071593]",,,753235,001,2023-02-21_11h09.31.636,SEAL_LandmarkPoint,2022.2.5,60.027180311554915,
PointingImages/Landmark6_map.jpeg,0,7,7,7,,,,,,22.08959760000289,22.08959760000289,22.08959760000289,8,"[1.8457502999954158, 0.8349368999915896, 0.769419200005359, 2.025638999999501, 0.8990091000014218, 0.6941621000005398, 0.7937566000036895, 0.67536769999424]","[1.8457592000049772, 0.8349430999951437, 0.7694291000079829, 2.0256495000066934, 0.8990173999918625, 0.6941699000017252, 0.7937647000071593, 0.6753772999945795]",,,753235,001,2023-02-21_11h09.31.636,SEAL_LandmarkPoint,2022.2.5,60.027180311554915,
PointingImages/Landmark1_book.jpeg,0,8,8,8,,,,,,22.98558459999913,22.98558459999913,22.98558459999913,9,"[1.8457502999954158, 0.8349368999915896, 0.769419200005359, 2.025638999999501, 0.8990091000014218, 0.6941621000005398, 0.7937566000036895, 0.67536769999424, 0.6428700999967987]","[1.8457592000049772, 0.8349430999951437, 0.7694291000079829, 2.0256495000066934, 0.8990173999918625, 0.6941699000017252, 0.7937647000071593, 0.6753772999945795, 0.6428786000033142]",,,753235,001,2023-02-21_11h09.31.636,SEAL_LandmarkPoint,2022.2.5,60.027180311554915,
