image,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text_2.started,button_2.started,button_2.numClicks,button_2.timesOn,button_2.timesOff,image_2.started,text_4.started,button.started,button.numClicks,button.timesOn,button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,
PointingImages/Landmark12_statue.jpeg,0,0,0,0,11.6500415999908,13.665603900095448,13.665603900095448,1,[2.340545100159943],[2.3405562001280487],16.336947600124404,16.336947600124404,16.336947600124404,1,[1.1701533000450581],[1.170164299895987],813067,001,2023-03-09_14h59.03.062,SEAL_LandmarkPoint,2022.2.5,60.242488086049065,
PointingImages/Landmark11_painting.jpeg,0,1,1,1,,,,,,,17.617914600064978,17.617914600064978,17.617914600064978,2,"[1.1701533000450581, 0.6494902998674661]","[1.170164299895987, 0.6495003998279572]",813067,001,2023-03-09_14h59.03.062,SEAL_LandmarkPoint,2022.2.5,60.242488086049065,
PointingImages/Landmark7_painting.jpeg,0,2,2,2,,,,,,,18.455113100120798,18.455113100120798,18.455113100120798,3,"[1.1701533000450581, 0.6494902998674661, 0.5433165000285953]","[1.170164299895987, 0.6495003998279572, 0.5433280998840928]",813067,001,2023-03-09_14h59.03.062,SEAL_LandmarkPoint,2022.2.5,60.242488086049065,
