image,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text_2.started,button_2.started,button_2.numClicks,button_2.timesOn,button_2.timesOff,image_2.started,text_4.started,button.started,button.numClicks,button.timesOn,button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,
PointingImages/Landmark12_statue.jpeg,0,0,0,0,7.685126099968329,9.69447930000024,9.69447930000024,1,[2.0019560999935493],[2.0019677999662235],12.12375259998953,12.12375259998953,12.12375259998953,1,[3.076154200010933],[3.0761634999653324],843441,001,2023-02-23_15h25.44.767,SEAL_LandmarkPoint,2022.2.5,60.17169390181906,
PointingImages/Landmark11_painting.jpeg,0,1,1,1,,,,,,,15.730017599998973,15.730017599998973,15.730017599998973,2,"[3.076154200010933, 3.8660861999960616]","[3.0761634999653324, 3.866093999997247]",843441,001,2023-02-23_15h25.44.767,SEAL_LandmarkPoint,2022.2.5,60.17169390181906,
,,,,,,,,,,,19.87215849995846,19.87215849995846,19.87215849995846,,,,,,,,,,
